Campaign,Ad group,Keyword,Match type,Max CPC,Final URL,Status
DR-iPhone,General,[아이폰 배터리 교체 얼마],Exact,850,https://xn--2j1bq2k97kxnah86c.com/articles/iphone-refurbish-guide.html,Enabled
DR-iPhone,General,"""아이폰 배터리 교체 얼마""",Phrase,680,https://xn--2j1bq2k97kxnah86c.com/articles/iphone-refurbish-guide.html,Enabled
DR-iPhone,General,[아이폰 배터리 부풀음],Exact,1020,https://xn--2j1bq2k97kxnah86c.com/articles/iphone-refurbish-guide.html,Enabled
DR-iPhone,General,"""아이폰 배터리 부풀음""",Phrase,816,https://xn--2j1bq2k97kxnah86c.com/articles/iphone-refurbish-guide.html,Enabled
DR-iPhone,General,[아이폰 빠른 수리],Exact,1020,https://xn--2j1bq2k97kxnah86c.com/articles/iphone-refurbish-guide.html,Enabled
DR-iPhone,General,"""아이폰 빠른 수리""",Phrase,816,https://xn--2j1bq2k97kxnah86c.com/articles/iphone-refurbish-guide.html,Enabled
DR-iPhone,General,[아이폰 수리],Exact,3060,https://xn--2j1bq2k97kxnah86c.com/articles/iphone-refurbish-guide.html,Enabled
DR-iPhone,General,"""아이폰 수리""",Phrase,2448,https://xn--2j1bq2k97kxnah86c.com/articles/iphone-refurbish-guide.html,Enabled
DR-iPhone,General,[아이폰 수리 가격],Exact,1700,https://xn--2j1bq2k97kxnah86c.com/articles/iphone-refurbish-guide.html,Enabled
DR-iPhone,General,"""아이폰 수리 가격""",Phrase,1360,https://xn--2j1bq2k97kxnah86c.com/articles/iphone-refurbish-guide.html,Enabled
DR-iPhone,General,[아이폰 수리 견적],Exact,1530,https://xn--2j1bq2k97kxnah86c.com/articles/iphone-refurbish-guide.html,Enabled
DR-iPhone,General,"""아이폰 수리 견적""",Phrase,1224,https://xn--2j1bq2k97kxnah86c.com/articles/iphone-refurbish-guide.html,Enabled
DR-iPhone,General,[아이폰 수리 얼마],Exact,1020,https://xn--2j1bq2k97kxnah86c.com/articles/iphone-refurbish-guide.html,Enabled
DR-iPhone,General,"""아이폰 수리 얼마""",Phrase,816,https://xn--2j1bq2k97kxnah86c.com/articles/iphone-refurbish-guide.html,Enabled
DR-iPhone,General,[아이폰 수리 얼마나 걸려요],Exact,510,https://xn--2j1bq2k97kxnah86c.com/articles/iphone-refurbish-guide.html,Enabled
DR-iPhone,General,"""아이폰 수리 얼마나 걸려요""",Phrase,408,https://xn--2j1bq2k97kxnah86c.com/articles/iphone-refurbish-guide.html,Enabled
DR-iPhone,General,[아이폰 수리 잘하는곳],Exact,1190,https://xn--2j1bq2k97kxnah86c.com/articles/iphone-refurbish-guide.html,Enabled
DR-iPhone,General,"""아이폰 수리 잘하는곳""",Phrase,952,https://xn--2j1bq2k97kxnah86c.com/articles/iphone-refurbish-guide.html,Enabled
DR-iPhone,General,[아이폰 수리 후기],Exact,850,https://xn--2j1bq2k97kxnah86c.com/articles/iphone-refurbish-guide.html,Enabled
DR-iPhone,General,"""아이폰 수리 후기""",Phrase,680,https://xn--2j1bq2k97kxnah86c.com/articles/iphone-refurbish-guide.html,Enabled
DR-iPhone,General,[아이폰 수리비],Exact,2040,https://xn--2j1bq2k97kxnah86c.com/articles/iphone-refurbish-guide.html,Enabled
DR-iPhone,General,"""아이폰 수리비""",Phrase,1632,https://xn--2j1bq2k97kxnah86c.com/articles/iphone-refurbish-guide.html,Enabled
DR-iPhone,General,[아이폰 수리점],Exact,1190,https://xn--2j1bq2k97kxnah86c.com/articles/iphone-refurbish-guide.html,Enabled
DR-iPhone,General,"""아이폰 수리점""",Phrase,952,https://xn--2j1bq2k97kxnah86c.com/articles/iphone-refurbish-guide.html,Enabled
DR-iPhone,General,[아이폰 안켜짐],Exact,1190,https://xn--2j1bq2k97kxnah86c.com/articles/iphone-refurbish-guide.html,Enabled
DR-iPhone,General,"""아이폰 안켜짐""",Phrase,952,https://xn--2j1bq2k97kxnah86c.com/articles/iphone-refurbish-guide.html,Enabled
DR-iPhone,General,[아이폰 액정 DD 가격],Exact,1190,https://xn--2j1bq2k97kxnah86c.com/articles/iphone-refurbish-guide.html,Enabled
DR-iPhone,General,"""아이폰 액정 DD 가격""",Phrase,952,https://xn--2j1bq2k97kxnah86c.com/articles/iphone-refurbish-guide.html,Enabled
DR-iPhone,General,[아이폰 액정 가격],Exact,1700,https://xn--2j1bq2k97kxnah86c.com/articles/iphone-refurbish-guide.html,Enabled
DR-iPhone,General,"""아이폰 액정 가격""",Phrase,1360,https://xn--2j1bq2k97kxnah86c.com/articles/iphone-refurbish-guide.html,Enabled
DR-iPhone,General,[아이폰 액정 교체 비용],Exact,1700,https://xn--2j1bq2k97kxnah86c.com/articles/iphone-refurbish-guide.html,Enabled
DR-iPhone,General,"""아이폰 액정 교체 비용""",Phrase,1360,https://xn--2j1bq2k97kxnah86c.com/articles/iphone-refurbish-guide.html,Enabled
DR-iPhone,General,[아이폰 액정 깨짐 수리],Exact,1360,https://xn--2j1bq2k97kxnah86c.com/articles/iphone-refurbish-guide.html,Enabled
DR-iPhone,General,"""아이폰 액정 깨짐 수리""",Phrase,1088,https://xn--2j1bq2k97kxnah86c.com/articles/iphone-refurbish-guide.html,Enabled
DR-iPhone,General,[아이폰 액정 수리],Exact,3060,https://xn--2j1bq2k97kxnah86c.com/articles/iphone-refurbish-guide.html,Enabled
DR-iPhone,General,"""아이폰 액정 수리""",Phrase,2448,https://xn--2j1bq2k97kxnah86c.com/articles/iphone-refurbish-guide.html,Enabled
DR-iPhone,General,[아이폰 액정 수리 견적],Exact,1360,https://xn--2j1bq2k97kxnah86c.com/articles/iphone-refurbish-guide.html,Enabled
DR-iPhone,General,"""아이폰 액정 수리 견적""",Phrase,1088,https://xn--2j1bq2k97kxnah86c.com/articles/iphone-refurbish-guide.html,Enabled
DR-iPhone,General,[아이폰 액정 수리 비용],Exact,2040,https://xn--2j1bq2k97kxnah86c.com/articles/iphone-refurbish-guide.html,Enabled
DR-iPhone,General,"""아이폰 액정 수리 비용""",Phrase,1632,https://xn--2j1bq2k97kxnah86c.com/articles/iphone-refurbish-guide.html,Enabled
DR-iPhone,General,[아이폰 액정 수리 시간],Exact,680,https://xn--2j1bq2k97kxnah86c.com/articles/iphone-refurbish-guide.html,Enabled
DR-iPhone,General,"""아이폰 액정 수리 시간""",Phrase,544,https://xn--2j1bq2k97kxnah86c.com/articles/iphone-refurbish-guide.html,Enabled
DR-iPhone,General,[아이폰 액정 수리 얼마],Exact,1020,https://xn--2j1bq2k97kxnah86c.com/articles/iphone-refurbish-guide.html,Enabled
DR-iPhone,General,"""아이폰 액정 수리 얼마""",Phrase,816,https://xn--2j1bq2k97kxnah86c.com/articles/iphone-refurbish-guide.html,Enabled
DR-iPhone,General,[아이폰 액정 수리비],Exact,2550,https://xn--2j1bq2k97kxnah86c.com/articles/iphone-refurbish-guide.html,Enabled
DR-iPhone,General,"""아이폰 액정 수리비""",Phrase,2040,https://xn--2j1bq2k97kxnah86c.com/articles/iphone-refurbish-guide.html,Enabled
DR-iPhone,General,[아이폰 액정 정품 vs DD],Exact,1020,https://xn--2j1bq2k97kxnah86c.com/articles/iphone-refurbish-guide.html,Enabled
DR-iPhone,General,"""아이폰 액정 정품 vs DD""",Phrase,816,https://xn--2j1bq2k97kxnah86c.com/articles/iphone-refurbish-guide.html,Enabled
DR-iPhone,General,[아이폰 액정 정품 가격],Exact,1190,https://xn--2j1bq2k97kxnah86c.com/articles/iphone-refurbish-guide.html,Enabled
DR-iPhone,General,"""아이폰 액정 정품 가격""",Phrase,952,https://xn--2j1bq2k97kxnah86c.com/articles/iphone-refurbish-guide.html,Enabled
DR-iPhone,General,[아이폰 유리 깨짐 수리],Exact,1190,https://xn--2j1bq2k97kxnah86c.com/articles/iphone-refurbish-guide.html,Enabled
DR-iPhone,General,"""아이폰 유리 깨짐 수리""",Phrase,952,https://xn--2j1bq2k97kxnah86c.com/articles/iphone-refurbish-guide.html,Enabled
DR-iPhone,General,[아이폰 응급 수리],Exact,1020,https://xn--2j1bq2k97kxnah86c.com/articles/iphone-refurbish-guide.html,Enabled
DR-iPhone,General,"""아이폰 응급 수리""",Phrase,816,https://xn--2j1bq2k97kxnah86c.com/articles/iphone-refurbish-guide.html,Enabled
DR-iPhone,General,[아이폰 정품 배터리],Exact,850,https://xn--2j1bq2k97kxnah86c.com/articles/iphone-refurbish-guide.html,Enabled
DR-iPhone,General,"""아이폰 정품 배터리""",Phrase,680,https://xn--2j1bq2k97kxnah86c.com/articles/iphone-refurbish-guide.html,Enabled
DR-iPhone,General,[아이폰 즉시 수리],Exact,850,https://xn--2j1bq2k97kxnah86c.com/articles/iphone-refurbish-guide.html,Enabled
DR-iPhone,General,"""아이폰 즉시 수리""",Phrase,680,https://xn--2j1bq2k97kxnah86c.com/articles/iphone-refurbish-guide.html,Enabled
DR-iPhone,General,[아이폰 지금 수리],Exact,680,https://xn--2j1bq2k97kxnah86c.com/articles/iphone-refurbish-guide.html,Enabled
DR-iPhone,General,"""아이폰 지금 수리""",Phrase,544,https://xn--2j1bq2k97kxnah86c.com/articles/iphone-refurbish-guide.html,Enabled
DR-iPhone,General,[아이폰 충전 안돼요],Exact,1360,https://xn--2j1bq2k97kxnah86c.com/articles/iphone-refurbish-guide.html,Enabled
DR-iPhone,General,"""아이폰 충전 안돼요""",Phrase,1088,https://xn--2j1bq2k97kxnah86c.com/articles/iphone-refurbish-guide.html,Enabled
DR-iPhone,General,[아이폰 충전 안됨],Exact,1530,https://xn--2j1bq2k97kxnah86c.com/articles/iphone-refurbish-guide.html,Enabled
DR-iPhone,General,"""아이폰 충전 안됨""",Phrase,1224,https://xn--2j1bq2k97kxnah86c.com/articles/iphone-refurbish-guide.html,Enabled
DR-iPhone,General,[아이폰 충전포트 고장],Exact,1020,https://xn--2j1bq2k97kxnah86c.com/articles/iphone-refurbish-guide.html,Enabled
DR-iPhone,General,"""아이폰 충전포트 고장""",Phrase,816,https://xn--2j1bq2k97kxnah86c.com/articles/iphone-refurbish-guide.html,Enabled
DR-iPhone,General,[아이폰 침수],Exact,2040,https://xn--2j1bq2k97kxnah86c.com/articles/iphone-refurbish-guide.html,Enabled
DR-iPhone,General,"""아이폰 침수""",Phrase,1632,https://xn--2j1bq2k97kxnah86c.com/articles/iphone-refurbish-guide.html,Enabled
DR-iPhone,General,[아이폰 침수 수리],Exact,1700,https://xn--2j1bq2k97kxnah86c.com/articles/iphone-refurbish-guide.html,Enabled
DR-iPhone,General,"""아이폰 침수 수리""",Phrase,1360,https://xn--2j1bq2k97kxnah86c.com/articles/iphone-refurbish-guide.html,Enabled
DR-iPhone,General,[아이폰 카메라 깨짐],Exact,1020,https://xn--2j1bq2k97kxnah86c.com/articles/iphone-refurbish-guide.html,Enabled
DR-iPhone,General,"""아이폰 카메라 깨짐""",Phrase,816,https://xn--2j1bq2k97kxnah86c.com/articles/iphone-refurbish-guide.html,Enabled
DR-iPhone,General,[아이폰 카메라 흐림],Exact,850,https://xn--2j1bq2k97kxnah86c.com/articles/iphone-refurbish-guide.html,Enabled
DR-iPhone,General,"""아이폰 카메라 흐림""",Phrase,680,https://xn--2j1bq2k97kxnah86c.com/articles/iphone-refurbish-guide.html,Enabled
DR-iPhone,General,[아이폰 켜지지 않음],Exact,1360,https://xn--2j1bq2k97kxnah86c.com/articles/iphone-refurbish-guide.html,Enabled
DR-iPhone,General,"""아이폰 켜지지 않음""",Phrase,1088,https://xn--2j1bq2k97kxnah86c.com/articles/iphone-refurbish-guide.html,Enabled
DR-iPhone,General,[아이폰 터치 불량],Exact,1020,https://xn--2j1bq2k97kxnah86c.com/articles/iphone-refurbish-guide.html,Enabled
DR-iPhone,General,"""아이폰 터치 불량""",Phrase,816,https://xn--2j1bq2k97kxnah86c.com/articles/iphone-refurbish-guide.html,Enabled
DR-iPhone,General,[아이폰 화면 깨짐 수리],Exact,1360,https://xn--2j1bq2k97kxnah86c.com/articles/iphone-refurbish-guide.html,Enabled
DR-iPhone,General,"""아이폰 화면 깨짐 수리""",Phrase,1088,https://xn--2j1bq2k97kxnah86c.com/articles/iphone-refurbish-guide.html,Enabled
DR-iPhone,General,[아이폰 화면 안나옴],Exact,1700,https://xn--2j1bq2k97kxnah86c.com/articles/iphone-refurbish-guide.html,Enabled
DR-iPhone,General,"""아이폰 화면 안나옴""",Phrase,1360,https://xn--2j1bq2k97kxnah86c.com/articles/iphone-refurbish-guide.html,Enabled
DR-iPhone,General,[아이폰 화면 안켜짐],Exact,1190,https://xn--2j1bq2k97kxnah86c.com/articles/iphone-refurbish-guide.html,Enabled
DR-iPhone,General,"""아이폰 화면 안켜짐""",Phrase,952,https://xn--2j1bq2k97kxnah86c.com/articles/iphone-refurbish-guide.html,Enabled
DR-iPhone,General,[아이폰 후면 깨짐],Exact,1190,https://xn--2j1bq2k97kxnah86c.com/articles/iphone-refurbish-guide.html,Enabled
DR-iPhone,General,"""아이폰 후면 깨짐""",Phrase,952,https://xn--2j1bq2k97kxnah86c.com/articles/iphone-refurbish-guide.html,Enabled
DR-iPhone,General,[아이폰 후면 깨짐 수리],Exact,1020,https://xn--2j1bq2k97kxnah86c.com/articles/iphone-refurbish-guide.html,Enabled
DR-iPhone,General,"""아이폰 후면 깨짐 수리""",Phrase,816,https://xn--2j1bq2k97kxnah86c.com/articles/iphone-refurbish-guide.html,Enabled
DR-iPhone,General,[아이폰 후면유리 교체],Exact,850,https://xn--2j1bq2k97kxnah86c.com/articles/iphone-refurbish-guide.html,Enabled
DR-iPhone,General,"""아이폰 후면유리 교체""",Phrase,680,https://xn--2j1bq2k97kxnah86c.com/articles/iphone-refurbish-guide.html,Enabled
DR-iPhone,Gasan,[가산 1시간 아이폰 수리],Exact,595,https://xn--2j1bq2k97kxnah86c.com/articles/repair-gasan-iphone.html,Enabled
DR-iPhone,Gasan,"""가산 1시간 아이폰 수리""",Phrase,476,https://xn--2j1bq2k97kxnah86c.com/articles/repair-gasan-iphone.html,Enabled
DR-iPhone,Gasan,[가산 30분 아이폰 수리],Exact,680,https://xn--2j1bq2k97kxnah86c.com/articles/repair-gasan-iphone.html,Enabled
DR-iPhone,Gasan,"""가산 30분 아이폰 수리""",Phrase,544,https://xn--2j1bq2k97kxnah86c.com/articles/repair-gasan-iphone.html,Enabled
DR-iPhone,Gasan,[가산 당일 아이폰 수리],Exact,850,https://xn--2j1bq2k97kxnah86c.com/articles/repair-gasan-iphone.html,Enabled
DR-iPhone,Gasan,"""가산 당일 아이폰 수리""",Phrase,680,https://xn--2j1bq2k97kxnah86c.com/articles/repair-gasan-iphone.html,Enabled
DR-iPhone,Gasan,[가산 아이폰 13 수리],Exact,510,https://xn--2j1bq2k97kxnah86c.com/articles/repair-gasan-iphone.html,Enabled
DR-iPhone,Gasan,"""가산 아이폰 13 수리""",Phrase,408,https://xn--2j1bq2k97kxnah86c.com/articles/repair-gasan-iphone.html,Enabled
DR-iPhone,Gasan,[가산 아이폰 14 배터리 교체],Exact,510,https://xn--2j1bq2k97kxnah86c.com/articles/repair-gasan-iphone.html,Enabled
DR-iPhone,Gasan,"""가산 아이폰 14 배터리 교체""",Phrase,408,https://xn--2j1bq2k97kxnah86c.com/articles/repair-gasan-iphone.html,Enabled
DR-iPhone,Gasan,[가산 아이폰 14 수리],Exact,510,https://xn--2j1bq2k97kxnah86c.com/articles/repair-gasan-iphone.html,Enabled
DR-iPhone,Gasan,"""가산 아이폰 14 수리""",Phrase,408,https://xn--2j1bq2k97kxnah86c.com/articles/repair-gasan-iphone.html,Enabled
DR-iPhone,Gasan,[가산 아이폰 14 액정 깨짐],Exact,510,https://xn--2j1bq2k97kxnah86c.com/articles/repair-gasan-iphone.html,Enabled
DR-iPhone,Gasan,"""가산 아이폰 14 액정 깨짐""",Phrase,408,https://xn--2j1bq2k97kxnah86c.com/articles/repair-gasan-iphone.html,Enabled
